Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Public Class,"YeRestaurant.Cai.Apple",1,1,1,1,3,0,3,0,2,0,0,,0,0,,,,1,0,1,1,0,0,0,1,,6,0,6,3,1,0,,,,1,3,2,1,,,,,,1,1,1,1,,1,0,,0,0.00,1,1,1,1
Public Method,"YeRestaurant.Cai.Apple.getFoodName",,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,0.00,1,1,1,1
Public Class,"YeRestaurant.Cai.Banana",1,1,1,1,3,0,3,0,2,0,0,,0,0,,,,1,0,1,1,0,0,0,1,,6,0,6,3,1,0,,,,1,3,2,1,,,,,,1,1,1,1,,1,0,,0,0.00,1,1,1,1
Public Method,"YeRestaurant.Cai.Banana.getFoodName",,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,0.00,1,1,1,1
Public Class,"YeRestaurant.Cai.HongShaoRou",1,1,1,1,3,0,3,0,2,0,0,,0,0,,,,1,0,1,1,0,0,0,1,,6,0,6,3,1,0,,,,1,3,2,1,,,,,,1,1,1,1,,1,0,,0,0.00,1,1,1,1
Public Method,"YeRestaurant.Cai.HongShaoRou.getFoodName",,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,0.00,1,1,1,1
Public Class,"YeRestaurant.Cai.QingJiaoRouSi",1,1,1,1,3,0,3,0,2,0,0,,0,0,,,,1,0,1,1,0,0,0,1,,6,0,6,3,1,0,,,,1,3,2,1,,,,,,1,1,1,1,,1,0,,0,0.00,1,1,1,1
Public Method,"YeRestaurant.Cai.QingJiaoRouSi.getFoodName",,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,0.00,1,1,1,1
Public Class,"YeRestaurant.Cai.SuanTaiChaoRou",1,1,1,1,3,0,3,0,2,0,0,,0,0,,,,1,0,1,1,0,0,0,1,,6,0,6,3,1,0,,,,1,3,2,1,,,,,,1,1,1,1,,1,0,,0,0.00,1,1,1,1
Public Method,"YeRestaurant.Cai.SuanTaiChaoRou.getFoodName",,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,0.00,1,1,1,1
Public Class,"YeRestaurant.Cai.TangCuLiYu",1,1,1,1,3,0,3,0,2,0,0,,0,0,,,,1,0,1,1,0,0,0,1,,6,0,6,3,1,0,,,,1,3,2,1,,,,,,1,1,1,1,,1,0,,0,0.00,1,1,1,1
Public Method,"YeRestaurant.Cai.TangCuLiYu.getFoodName",,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,0.00,1,1,1,1
Public Interface,"YeRestaurant.Food",0,0,0,0,0,0,0,0,0,0,6,,0,0,,,,1,0,1,1,1,0,0,0,,3,0,3,2,0,0,,,,1,2,2,0,,,,,,0,0,0,0,,0,0,,0,0.00,0,0,0,0
Abstract Method,"YeRestaurant.Food.getFoodName",,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,0.00,0,0,0,0
